Price,Details,Title,Location
"₹ 10,000",2 BHK - 2 Bathroom - 900 sqft,2 Bhk semifurnished Flat available for rent at prabhatam height,"PATEL NAGAR, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 1200 sqft,For rent of ground floor,"KOLAR ROAD, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 700 sqft,Rooms for rent,"KOLAR ROAD, BHOPAL"
"₹ 9,500",2 BHK - 1 Bathroom - 1212 sqft,Flat sharing partner needed.. Indrapuri C sector,"INDRAPURI C SECTOR, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1100 sqft,2bhk flat for rent in Lalita nagar near D Mart in kolar road,"KOLAR ROAD, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 900 sqft,2bhk flat rent fully furnished Samriddhi parisar Lalita Nagar Kolar,"KOLAR ROAD, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 800 sqft,Need Flat mate for rent in 2BHK,"OLD MINAL RESIDENCY, BHOPAL"
"₹ 9,000",2 BHK - 3 Bathroom - 1000 sqft,House for rent,"GORA, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 800 sqft,2 BHK Flat for Rent,"MISROD, BHOPAL"
"₹ 4,000",2 BHK - 1 Bathroom - 600 sqft,Two rooms with kitchen | neelbaad choraha,"BARKHERI, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1000 sqft,2 BHK duplex house for rent,"NARILA SHANKARI, BHOPAL"
"₹ 14,500",2 BHK - 2 Bathroom - 1300 sqft,2bhk falt for Rent place orchid Square Kolar Road,"KOLAR ROAD, BHOPAL"
"₹ 12,500",2 BHK - 2 Bathroom - 1200 sqft,San khedi Narayana school ke pass Kolar road,"KOLAR ROAD, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 800 sqft,Shree krishna campus priyanka nagar kolar road bhopal,"KOLAR ROAD, BHOPAL"
"₹ 25,000",2 BHK - 2 Bathroom - 1300 sqft,Full furnished house,"DANISH SQUARE, BHOPAL"
"₹ 2,250",2 BHK - 2 Bathroom - 1400 sqft,Need roommate only bihar uttar pradesh,"INDRAPURI C SECTOR, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 500 sqft,House For Rent ( only for family),"NARILA SHANKARI BALAJI NAGAR, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 1000 sqft,2bhk flat for rent Lalita nagar prime location Kolar road,"KOLAR ROAD, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 800 sqft,Luxurious 2 bhk available on rent,"RAVI DAS COLONY, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 4000 sqft,Female flatmate required,"HIRDARAM, BHOPAL"
"₹ 4,000",2 BHK - 1 Bathroom - 1000 sqft,Fully independent 2bhk flat 1 room and hall available for the rent,"INDRAPURI C SECTOR, BHOPAL"
"₹ 4,000",2 BHK - 2 Bathroom - 1500 sqft,Need Girl Flatmate for hall,"INDRAPURI C SECTOR, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1054 sqft,House for rent-Preferably Family,"MISROD, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 700 sqft,Flat available for family person at bhopal hoshangabad road,"CHINAR FORUNE CITY, BHOPAL"
"₹ 8,500",2 BHK - 2 Bathroom - 900 sqft,Apartment for girls and family.,"NIKHIL PHASE 2, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 1100 sqft,2bhk independent House no 458 for rent,"MISROD, BHOPAL"
"₹ 21,50,000",2 BHK - 2 Bathroom - 900 sqft,Urgent sell,"MISROD, BHOPAL"
"₹ 5,600",2 BHK - 1 Bathroom - 600 sqft,"2 BHK FLAT WITH LIFT, PEACEFUL ENVIRONMENT, EQUIP WITH PARKS, SECURITY","KATARA HILLS, BHOPAL"
"₹ 4,750",2 BHK - 2 Bathroom - 1199 sqft,1 female flatmate for 2bhk flat,"PATEL NAGAR, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 952 sqft,Female Flatmate required ( sharing),"MISROD, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 910 sqft,2bhk falt for rent Samriddhi parisar Lalita Nagar Kolar road l,"KOLAR ROAD, BHOPAL"
"₹ 8,000",2 BHK - 1 Bathroom - 700 sqft,Furnished and newly contructed,"NEW MINAL RESIDENCY, BHOPAL"
"₹ 11,000",2 BHK - 1 Bathroom - 650 sqft,"2Bhk Flat for rent- CHINNAR FORTUNE CITY, AASHIMA MALL,","CHINAR FORUNE CITY, BHOPAL"
"₹ 7,500",2 BHK - 2 Bathroom - 600 sqft,Room on rent for family,"SWARN KUNJ COLONY KATARA, BHOPAL"
"₹ 11,000",2 BHK - 2 Bathroom - 750 sqft,2 bhk for rent and 1room kichin bathroom,"KALIYASO DAM AREA, BHOPAL"
"₹ 4,000",2 BHK - 1 Bathroom - 1200 sqft,Need female roommate,"SANGAM COLONY, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 900 sqft,2Bhk for rent in green bay apartment,"RAJ BHOJ INTERNATIONAL AIRPORT AREA, BHOPAL"
"₹ 7,000",2 BHK - 1 Bathroom - 800 sqft,To rent out,"SANJEEV NAGAR, BHOPAL"
"₹ 11,000",2 BHK - 2 Bathroom - 1200 sqft,3bhk falt for rent Danish kunj jain mandir Kolar Road,"KOLAR ROAD, BHOPAL"
"₹ 6,500",2 BHK - 1 Bathroom - 800 sqft,2 bhk for urgent rent out only for vegetarian.,"AAMAR ESTATE, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 750 sqft,"Only for families, 2 BHK flat for Rent in Sagar Lake view homes . Bpl","RATNAGIRI BDA COLONY, BHOPAL"
"₹ 15,000",2 BHK - 3 Bathroom - 1550 sqft,plot no 239 indra vihar colony pant house 2 bhk with lift aminites,"PANCHVATI, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 1400 sqft,2BHK flat bawadiya kalan near akriti eco city,"AAKRITI ECOCITY, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 980 sqft,2bhk flat for rent in indrapuri,"INDRAPURI, BHOPAL"
"₹ 18,000",2 BHK - 2 Bathroom - 1500 sqft,2BHK fully furnished Duplex part poshan for Rent Kolar road,"KOLAR ROAD, BHOPAL"
"₹ 11,000",2 BHK - 2 Bathroom - 800 sqft,2bhk flat for rent,"NARILA SHANKARI DURGESH VIHAR COLONY, BHOPAL"
"₹ 20,000",2 BHK - 1 Bathroom - 650 sqft,2bhk rent pe ghar dena hai kam Bugged mein location kohefiza,"KOH E FIZA, BHOPAL"
"₹ 14,500",,2bhk flat for rent in place orchead Recidency Kolar road Bhopal,"KOLAR ROAD, BHOPAL"
"₹ 3,500",2 BHK - 1 Bathroom - 500 sqft,Only girls rooms,"KOLAR ROAD, BHOPAL"
"₹ 8,500",2 BHK - 1 Bathroom - 1000 sqft,2 BHK Independent flat for rent,"NARILA SHANKARI HAZRAT NIZAMUDDIN COLONY, BHOPAL"
"₹ 3,000",2 BHK - 2 Bathroom - 1100 sqft,Female Flatmate Needed,"INDRAPURI C SECTOR, BHOPAL"
"₹ 11,000",2 BHK - 2 Bathroom - 1200 sqft,2bhk For rent Duplex part poshan for rent sai nath Kolar road Bhopal,"KOLAR ROAD, BHOPAL"
"₹ 12,000",2 BHK - 3 Bathroom - 1400 sqft,2bhk falt for rent Shiva state Bima Kunj Kolar road Bhopal,"KOLAR ROAD, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 900 sqft,2bhk falt for rent Priyanka nagar prime locations Kolar,"KOLAR ROAD, BHOPAL"
"₹ 20,000",2 BHK - 2 Bathroom - 1000 sqft,3bhk duplex for rent Sai Hills view near Sagar green hills mandakini,"KOLAR ROAD, BHOPAL"
"₹ 5,500",2 BHK - 2 Bathroom - 840 sqft,2Bhk flat on RENT,"SATLAPUR, MANDIDEEP"
"₹ 8,500",2 BHK - 2 Bathroom - 720 sqft,2BHK Flat for Family & Bachelor Girl's only.,"KOKTA, BHOPAL"
"₹ 7,500",2 BHK - 2 Bathroom - 600 sqft,2bhk independent flate,"KOKTA, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 600 sqft,Ground floor house on rent,"BHOPAL, MADHYA PRADESH"
"₹ 2,95,000",1 BHK - 1 Bathroom - 444 sqft,Katsi sunehari bagh mata mandir patte bala makan h,"BHOPAL, MADHYA PRADESH"
"₹ 14,500",1 BHK - 1 Bathroom - 18 sqft,Only for girls independent room available,"MP NAGAR, BHOPAL"
"₹ 7,500",1 BHK - 1 Bathroom - 600 sqft,For rent dm us,"AISH BAGH HOUSING BOARD COLONY, BHOPAL"
"₹ 8,500",1 BHK - 1 Bathroom - 0 sqft,Reserve Parking,"NEHRU NAGAR, BHOPAL"
"₹ 15,000",1 BHK - 1 Bathroom - 700 sqft,Rent for 1bhk flat fully furnished covered campus near aakruti Eco.,"ROHIT NAGAR, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 550 sqft,1 BHK FLAT FOR RENT,"ASHOKA GARDEN, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 100 sqft,Rooms will be given on rent only girls and family's,"ASHOKA GARDEN, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 550 sqft,ground floor pe 2 room Kichen rent se dena h chirayu fategarh ke pass,"NAKKAR KHANA, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 450 sqft,1 bhk second floor for rent only girls or working professional allowed,"NEHRU NAGAR, BHOPAL"
"₹ 13,500",1 BHK - 1 Bathroom - 500 sqft,Parkview Fully Furnished Flat,"PADMANABH NAGAR HOUSING BOARD COLONY, BHOPAL"
"₹ 4,500",1 BHK - 1 Bathroom - 1200 sqft,Room for rent for girls,"HINTOIA VILLAGE, BHOPAL"
"₹ 4,500",1 BHK - 1 Bathroom - 300 sqft,Single Room Available For Rent,"ASHOKA GARDEN, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 200 sqft,Female Flatmate,"TT NAGAR, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 1000 sqft,Only for student,"ASHOKA GARDEN, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 255 sqft,Rooms for Rent,"KHUSHIPURA, BHOPAL"
"₹ 7,800",1 BHK - 1 Bathroom - 450 sqft,1 bhk flat in rohit nagar,"ROHIT NAGAR, BHOPAL"
"₹ 2,200",1 BHK - 1 Bathroom - 750 sqft,Room rent pr dena he,"NAVBHAR COLONY, BHOPAL"
"₹ 12,000",1 BHK - 1 Bathroom - 700 sqft,Rent urjent Rachna Tower LIG Block,"RACHNA NAGAR, BHOPAL"
"₹ 6,500",1 BHK - 1 Bathroom - 450 sqft,Rooms for Rent on terrace,"ASHOKA GARDEN MAYUR VIHAR, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 450 sqft,1 room kitchen for rent in ashoka garden,"ASHOKA GARDEN, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 600 sqft,1 bhk Nehru Nagar Independent Floor,"NEHRU NAGAR, BHOPAL"
"₹ 9,000",1 BHK - 1 Bathroom - 700 sqft,1bhk semifurnished unit available for rent near aura mall,"ARERA COLONY, BHOPAL"
"₹ 7,800",1 BHK - 1 Bathroom - 450 sqft,Newly 1 bhk.flat in rohit nagar,"ROHIT NAGAR, BHOPAL"
"₹ 6,500",1 BHK - 1 Bathroom - 700 sqft,Independent Flat for rent in vidya nagar(Brokerage),"ANSAL PRADHAN ENCLAVE, BHOPAL"
"₹ 2,500",1 BHK - 1 Bathroom - 800 sqft,1 seat awailable in 2 seater pg only for girls,"KASTURBA NAGAR, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 200 sqft,Room available only for boys infront of Ashoka garden Thana,"ASHOKA GARDEN ASHOKA GARDEN, BHOPAL"
"₹ 7,000",1 BHK - 1 Bathroom - 650 sqft,1bhk for rent in ashoka garden for anyone,"ASHOKA GARDEN, BHOPAL"
"₹ 9,000",1 BHK - 1 Bathroom - 160 sqft,1 room fully furnished in Shahpura colony,"SHAHPURA, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 160 sqft,1 room furnished in Shahpura colony,"SHAHPURA, BHOPAL"
"₹ 7,200",1 BHK - 1 Bathroom - 140 sqft,1 room furnished in Shahpura colony,"SHAHPURA, BHOPAL"
"₹ 10,000",,For rent accessories cover glass,"NADRA, BHOPAL"
"₹ 2,000",1 BHK - 1 Bathroom - 150 sqft,Need female roommates argent. Only Girl,"ASHOKA GARDEN, BHOPAL"
"₹ 3,000",1 BHK - 1 Bathroom - 250 sqft,Tolet for girls only,"GAUTAM NAGAR, BHOPAL"
"₹ 3,000",1 BHK - 1 Bathroom - 600 sqft,Room for rent,"KHUSHIPURA, BHOPAL"
"₹ 2,500",1 BHK - 1 Bathroom - 20 sqft,Need a room mate boy room be full independent contact numbers 91312358,"INDRAPURI SECTOR B, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 150 sqft,Independent room with washroom,"RACHNA NAGAR, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 430 sqft,"1 Room, Kitchen & Bathroom on Rent – Gulmohar Colony Bhopal","GULMOHAR COLONY, BHOPAL"
"₹ 2,500",1 BHK - 2 Bathroom - 2500 sqft,Need 1 room partner urgent 2500 rent shivani complex,"MP NAGAR, BHOPAL"
"₹ 3,200",1 BHK - 1 Bathroom - 180 sqft,"Single room available , with common washroom","ASHOKA GARDEN, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 2000 sqft,Female Room partner needed,"MP NAGAR, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 200 sqft,Independent Room for rent (Girls Only),"ASHOKA GARDEN, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 400 sqft,1bhk on rent,"OLD SUBHASH NAGAR, BHOPAL"
"₹ 7,500",1 BHK - 1 Bathroom - 300 sqft,Needed flatmate for 1 or 2 bhk flat boys only,"GULMOHAR COLONY, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 120 sqft,(ONLY FOR FAMILY) 2 room 1 bathroom kitchen car parking 24/7 water,"KHUSHIPURA, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 400 sqft,Individual house for rent,"NEHRU NAGAR, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 450 sqft,1 rk lat bath atched only for girls,"SAKET NAGAR, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 600 sqft,required a girl roommate for my flat,"SHAHPURA, BHOPAL"
"₹ 6,500",1 BHK - 1 Bathroom - 300 sqft,1 bhk room for rent near piplani,"INDRAPURI SECTOR A, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 1500 sqft,1bhk for rent,"SAKET NAGAR, BHOPAL"
"₹ 12,000",1 BHK - 1 Bathroom - 800 sqft,1bhk for rent near aura mall,"ARERA COLONY, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 450 sqft,Single room for rent without kitchen,"ARERA COLONY, BHOPAL"
"₹ 12,000",1 BHK - 1 Bathroom - 600 sqft,1 BHK for rent near AIIMS Bhopal,"SAKET NAGAR, BHOPAL"
"₹ 2,250",1 BHK - 2 Bathroom - 800 sqft,Requirement for female flatmate,"ANSAL PRADHAN ENCLAVE, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 200 sqft,1rk available for rent,"SAKET NAGAR, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 150 sqft,"1 Room Sirf Girls ke liye, Bed Or Table ke sath","ASHOKA GARDEN, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 13 sqft,Affordable Room for Rent in Prime Location,"ROHIT NAGAR, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 450 sqft,1bhk for rent,"SEMRA, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 0 sqft,Room for Boys in Rachna Nagar,"MP NAGAR, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 500 sqft,Flat for rent,"JAHANGIRABAD, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 250 sqft,Rented Rooms,"SAKET NAGAR, BHOPAL"
"₹ 3,200",1 BHK - 1 Bathroom - 8269222 sqft,Rent For Room,"KOTRA SULTANABAD, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 560 sqft,1bhk flat for rent in arera E7,"ARERA COLONY, BHOPAL"
"₹ 3,200",1 BHK - 2 Bathroom - 2400 sqft,Looking for female flatmate,"ASHOK VIHAR, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 550 sqft,Room for rent 1 bhk near AIIMS 80 ft road saket nagar,"SAKET NAGAR, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 575 sqft,1 bhk flat apartment on rent,"MP NAGAR, BHOPAL"
"₹ 3,000",1 BHK - 1 Bathroom - 120 sqft,Newly constructed room for rent from 3000 to 5000 also negotiable,"ASHOKA GARDEN, BHOPAL"
"₹ 3,000",1 BHK - 1 Bathroom - 400 sqft,Need a roommate,"PRATAP NAGAR, BHOPAL"
"₹ 8,500",1 BHK - 1 Bathroom - 900 sqft,1BHK flat for rent in aura mall,"GULMOHAR COLONY, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 500 sqft,2 rooms kitchen letbath,"BEIDARPURA, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 150 sqft,Room rent for students only for boy's,"PRATAP NAGAR, BHOPAL"
"₹ 4,200",1 BHK - 1 Bathroom - 750 sqft,Room for Boys In 2ASaket Nagar Near SBI Bank and AIIMS,"SAKET NAGAR, BHOPAL"
"₹ 10,000",1 BHK - 1 Bathroom - 750 sqft,Rent-selfhome,"SAKET NAGAR, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 450 sqft,1Rk/ Single room for rent in Ashoka Garden,"ASHOKA GARDEN, BHOPAL"
"₹ 15,000",1 BHK - 1 Bathroom - 1400 sqft,Spacious 1 Bhk room for rent with terrace garden and cozy vibes,"ARERA COLONY, BHOPAL"
"₹ 4,500",1 BHK - 1 Bathroom - 250 sqft,Room rent for girls and family,"HINTOIA VILLAGE, BHOPAL"
"₹ 2,000",1 BHK - 1 Bathroom - 300 sqft,Room for rent only for 2000 Rs,"JHANGIRABAD, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 450 sqft,Room for rent,"ARERA COLONY, BHOPAL"
"₹ 7,500",1 BHK - 2 Bathroom - 1200 sqft,"Independent 1Bhk and 2Bhk furnished flat for rent (1BHk,2BHK,1BHk,2BHk","KOLAR ROAD, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 450 sqft,Ground floor,"RUCHI LIFE SCAPES, BHOPAL"
"₹ 2,200",1 BHK - 1 Bathroom - 140 sqft,Single rooms for rent,"KAROD KALAN, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 490 sqft,Room available for rent 6000 only,"BAG SEWANIA, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 550 sqft,Rent for small family & clg girls only,"BARKHERI, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 600 sqft,"Newly Built 1BHK Flat for rent at Jail Road Near Sagar Gaire, Karond","RUSALLI, BHOPAL"
"₹ 3,600",1 BHK - 1 Bathroom - 500 sqft,For rent 1 rk for 2 person full furnished near jk hospital,"KOLAR ROAD, BHOPAL"
"₹ 7,000",1 BHK - 1 Bathroom - 500 sqft,1bhk for rent Rivera Hills prime location Kolar Road,"KOLAR ROAD, BHOPAL"
"₹ 3,000",1 BHK - 1 Bathroom - 140 sqft,Single Room for Rent at Behind Ashima Mall,"BHEL SANGAM AND PRIYADESHINI COLONY, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 1150 sqft,PRIVATE ROOM & BATHROOM BEHIND AIIMS/BARKATULLAH UNIVERSITY KE PEECHE,"BAG SEWANIA, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 750 sqft,1BHK HOUSE FOR RENT-ASHIMA MALL,"GANESH NAGAR, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 0 sqft,Urgent need a roomate,"SANGAM COLONY, BHOPAL"
"₹ 11,000",1 BHK - 1 Bathroom - 900 sqft,1BHK fully furnished for rent danish kunj Kolar Road,"KOLAR ROAD, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 800 sqft,house for rent,"MISROD, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 450 sqft,1 BHK Flat Rent Idel for Small Family,"JATKHERI, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 200 sqft,"COLLEGE GIRLS ROOM (HINDU,Veg)","INDRAPURI, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 600 sqft,Semi - furnished room for Rent | Ideal for Stundent/Bachelor.,"KAMLA NAGAR, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 450 sqft,1bhk for rent,"HB COLONY, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 470 sqft,1BHK Flat for Rent - Family only,"SWARN KUNJ COLONY KATARA, BHOPAL"
"₹ 8,000",1 BHK - 1 Bathroom - 500 sqft,1BHK Gautam Nagar,"GAUTAM NAGAR, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 500 sqft,1bhk rent out for girls or small family,"AYODHYA NAGAR, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 0 sqft,Need a room partner girl rent 3500 in danish nagar bhopal,"DANISH SQUARE, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 120 sqft,Rent pr dena hai only girls,"AAMAR ESTATE, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 200 sqft,Single room for rent at Ayodhya bypass road,"RAJSAMRAT COLONY, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 750 sqft,1bhk for rent,"RATANPUR SADAK, BHOPAL"
"₹ 5,500",1 BHK - 1 Bathroom - 250 sqft,Room available for rent only for girls,"GANESH NAGAR, BHOPAL"
"₹ 4,500",1 BHK - 1 Bathroom - 1000 sqft,1bhk flat for girls,"MISROD, BHOPAL"
"₹ 10,000",1 BHK - 1 Bathroom - 1250 sqft,Semi-furnished ayodhya nagar narela jod,"NARILA SHANKARI BHAWANI DHAM SOCIETY, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 400 sqft,1RK rent out suitable for betchlor,"AYODHYA NAGAR, BHOPAL"
"₹ 9,500",1 BHK - 1 Bathroom - 580 sqft,1bhk flat rent out suitable for working person,"ANAND NAGAR, BHOPAL"
"₹ 4,500",1 BHK - 1 Bathroom - 3000 sqft,1RK for Rent at Narela Jod for girls,"INDRAPURI, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 128483 sqft,Room for rent,"PATEL NAGAR, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 600 sqft,Room for rent for family and bachelors,"KAROD KALAN, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 1100 sqft,1 bhk apartment for rent,"KAROD KALAN, BHOPAL"
"₹ 2,000",1 BHK - 1 Bathroom - 500 sqft,Jisko neelbad ke pass saste room chahiye rent par to batay,"BISHANKHERI, BHOPAL"
"₹ 6,500",1 BHK - 1 Bathroom - 450 sqft,FOR RENT 1 BHK FLAT BEHIND PEOPLES MALL,"BHANPURA, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 500 sqft,Rent only boys only,"BAWARIA KALAN, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 750 sqft,Singal room kitchen leth bath,"NARILA SHANKARI, BHOPAL"
"₹ 7,000",1 BHK - 2 Bathroom - 2000 sqft,"For RENT Newly Construct Row House, First Floor Only With New Kitchen.","KATARA HILLS, BHOPAL"
"₹ 14,000",1 BHK - 2 Bathroom - 1000 sqft,1 BHK in Pebble Bay Phase 2 for Rent,"PEBBLE BEY HOUSING SOCIETY, BHOPAL"
"₹ 2,000",1 BHK - 1 Bathroom - 1900 sqft,Need two room partners only Engineering Students ro,"ANAND NAGAR, BHOPAL"
"₹ 3,500",1 BHK - 1 Bathroom - 170 sqft,Rooms available for students only,"NANBI BAGH, BHOPAL"
"₹ 3,000",1 BHK - 1 Bathroom - 150 sqft,Room Rent for Students,"AYODHYA NAGAR EXTENTION, BHOPAL"
"₹ 3,000",1 BHK - 1 Bathroom - 120 sqft,To-let only for girls 3000 per room & 1r+k+w 4800/-,"DEEP MOHINI PARISAR, BHOPAL"
"₹ 4,000",1 BHK - 1 Bathroom - 350 sqft,1 RK @4000/- Single room For Rent- Semi furnished,"KAROD KALAN, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 250 sqft,Room For Rent Only for Students ( No vehicles allowed),"NARILA SHANKARI KARAMVEER NAGAR, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 355 sqft,Aashima mall ke paas 1RK ( fully independent ) no brokerage,"JATKHERI, BHOPAL"
"₹ 5,000",1 BHK - 1 Bathroom - 1000 sqft,1 bhk for rent,"AWADHPURI, BHOPAL"
"₹ 6,000",1 BHK - 1 Bathroom - 1800 sqft,Boys hostel with food and wifi RO And all the facilities.,"INDRAPURI, BHOPAL"
